days,   Paperback ,Hardcover
7,199,139
14,172,128
21,111,172
28,209,139
35,161,191
42,119,168
49,195,170
56,195,145
63,131,184
70,183,135
77,143,218
84,141,198
91,168,230
98,201,222
105,155,206
112,243,240
119,225,189
126,167,222
133,237,158
140,202,178
147,186,217
154,176,261
161,232,238
168,195,240
175,190,214
182,182,200
189,222,201
196,217,283
203,188,220
210,247,259
217,170,158
224,186,274
231,199,153
238,222,201
245,219,171
252,260,151
259,168,197
266,194,169
273,122,174
280,191,160
287,155,238
294,269,123
301,244,188
308,197,250
315,217,159
322,176,197
329,194,226
336,188,231
343,184,336
350,197,98
357,181,217
364,157,183
